User,Reaction Type,Reaction Date
914,Comment,1588157043
994,Like,1588172188
559,Emoticon,1588172937
422,Like,1588166450
264,Comment,1588172076
691,Emoticon,1588158012
182,Emoticon,1588183586
701,Like,1588171960
439,Like,1588169254
935,Like,1588169917
783,Like,1588158374
595,Comment,1588158424
469,Like,1588158431
335,Comment,1588158440
134,Emoticon,1588159545
841,Like,1588158521
462,Like,1588158570
142,Comment,1588158597
330,Comment,1588162360
22,Emoticon,1588158686
895,Comment,1588159045
995,Like,1588159522
378,Comment,1588166420
65,Like,1588176180
381,Emoticon,1588158786
854,Emoticon,1588158822
500,Like,1588161284
427,Like,1588158868
535,Emoticon,1588158885
726,Like,1588168082
181,Like,1588161059
442,Emoticon,1588168763
931,Emoticon,1588168445
871,Emoticon,1588158962
676,Comment,1588158968
338,Comment,1588158978
491,Comment,1588159013
551,Like,1588169132
351,Like,1588166580
147,Like,1588170865
414,Emoticon,1588163649
96,Like,1588159421
644,Emoticon,1588159076
439,Comment,1588164472
637,Like,1588175694
379,Like,1588168917
167,Comment,1588159165
82,Comment,1588166475
101,Emoticon,1588159190
237,Like,1588159196
472,Emoticon,1588159262
718,Comment,1588167134
912,Emoticon,1588165749
921,Emoticon,1588166150
629,Like,1588160437
107,Comment,1588167935
871,Like,1588159395
465,Emoticon,1588162121
117,Like,1588159413
127,Like,1588165637
431,Comment,1588159420
715,Comment,1588162367
313,Emoticon,1588164787
295,Comment,1588169265
695,Emoticon,1588162648
713,Like,1588159498
418,Like,1588159509
291,Comment,1588180999
753,Emoticon,1588159520
196,Like,1588180604
371,Comment,1588160381
871,Emoticon,1588159581
894,Comment,1588175362
287,Like,1588166223
77,Like,1588159702
562,Comment,1588164238
226,Like,1588159714
718,Comment,1588167702
874,Comment,1588165755
509,Comment,1588159728
633,Like,1588159732
460,Like,1588159739
980,Like,1588164673
512,Emoticon,1588162358
886,Comment,1588159761
652,Comment,1588159765
338,Emoticon,1588159766
925,Comment,1588166939
535,Like,1588159769
905,Like,1588188558
110,Like,1588159794
102,Comment,1588159795
582,Comment,1588159795
550,Like,1588159804
262,Emoticon,1588159815
843,Like,1588159817
434,Comment,1588159818
366,Emoticon,1588188804
716,Emoticon,1588164257
328,Comment,1588159861
507,Like,1588159870
765,Like,1588171700
436,Emoticon,1588159875
378,Comment,1588164724
159,Comment,1588159886
202,Like,1588159891
992,Like,1588159895
946,Emoticon,1588171763
153,Like,1588159908
716,Like,1588166395
844,Emoticon,1588180687
727,Emoticon,1588164557
442,Comment,1588165933
621,Like,1588159950
758,Comment,1588166539
730,Comment,1588159963
630,Like,1588164719
222,Comment,1588159967
350,Like,1588173028
422,Like,1588161272
548,Like,1588175277
300,Comment,1588174024
396,Comment,1588159995
185,Comment,1588183165
960,Emoticon,1588159999
806,Comment,1588171163
739,Emoticon,1588166466
708,Emoticon,1588164903
477,Like,1588160024
306,Emoticon,1588170691
313,Comment,1588162825
833,Emoticon,1588160035
5,Like,1588160041
247,Like,1588180538
238,Emoticon,1588160053
451,Emoticon,1588160054
837,Emoticon,1588160070
302,Emoticon,1588160083
702,Like,1588161401
233,Comment,1588167371
540,Like,1588166398
398,Like,1588160100
873,Emoticon,1588160109
309,Emoticon,1588172226
706,Emoticon,1588160113
327,Emoticon,1588160114
906,Emoticon,1588160119
447,Emoticon,1588172255
315,Like,1588163521
62,Emoticon,1588160124
952,Emoticon,1588160137
798,Comment,1588160141
778,Comment,1588169059
328,Comment,1588160161
26,Like,1588160163
406,Comment,1588160164
57,Like,1588164477
606,Like,1588175674
723,Like,1588165574
412,Emoticon,1588160180
922,Emoticon,1588170662
844,Like,1588175637
909,Like,1588175805
825,Comment,1588160196
871,Like,1588160197
608,Emoticon,1588160211
790,Like,1588160211
963,Like,1588162520
430,Emoticon,1588160225
921,Comment,1588163886
313,Like,1588162339
729,Emoticon,1588160232
96,Comment,1588160238
641,Emoticon,1588160239
68,Comment,1588172594
625,Like,1588160328
147,Like,1588165237
148,Emoticon,1588160256
821,Emoticon,1588167383
535,Comment,1588160273
402,Comment,1588165374
881,Emoticon,1588160283
77,Comment,1588160296
917,Emoticon,1588160297
445,Comment,1588160302
804,Emoticon,1588160305
399,Comment,1588164484
91,Like,1588160309
515,Like,1588160316
932,Like,1588160318
357,Emoticon,1588160320
300,Comment,1588175037
928,Emoticon,1588173324
986,Comment,1588170143
858,Emoticon,1588160328
120,Like,1588160329
452,Comment,1588175992
423,Comment,1588168687
249,Emoticon,1588178013
164,Emoticon,1588160339
729,Emoticon,1588160343
878,Comment,1588160348
939,Like,1588160355
521,Emoticon,1588180624
661,Emoticon,1588160359
408,Like,1588162321
782,Emoticon,1588160369
401,Emoticon,1588160373
52,Emoticon,1588168460
993,Emoticon,1588167809
133,Emoticon,1588175855
954,Emoticon,1588160389
211,Like,1588160391
80,Like,1588177030
784,Comment,1588165625
970,Like,1588160399
728,Like,1588169895
207,Emoticon,1588160408
807,Like,1588160409
388,Emoticon,1588165640
994,Emoticon,1588174377
855,Comment,1588160461
415,Comment,1588162552
771,Emoticon,1588160432
800,Like,1588160432
514,Comment,1588160436
950,Comment,1588160436
498,Emoticon,1588160439
74,Like,1588161695
669,Like,1588160444
80,Emoticon,1588172676
69,Like,1588160447
177,Emoticon,1588170262
903,Like,1588160452
225,Comment,1588160455
798,Emoticon,1588160459
378,Like,1588162420
273,Emoticon,1588174510
620,Like,1588160938
660,Emoticon,1588181575
731,Comment,1588160479
647,Comment,1588160481
504,Comment,1588160483
850,Comment,1588170424
669,Comment,1588160490
961,Like,1588163629
185,Emoticon,1588178586
63,Comment,1588166314
8,Like,1588174771
19,Emoticon,1588167735
178,Like,1588178831
736,Like,1588165439
837,Emoticon,1588160523
234,Comment,1588170124
50,Like,1588160531
691,Like,1588160532
559,Like,1588164247
128,Like,1588179831
273,Emoticon,1588178811
581,Like,1588174302
351,Like,1588165065
508,Like,1588160574
670,Emoticon,1588161663
251,Like,1588187921
19,Like,1588166190
419,Emoticon,1588160752
796,Like,1588160596
88,Comment,1588160606
267,Emoticon,1588161002
167,Comment,1588160610
868,Like,1588160610
875,Like,1588160614
85,Emoticon,1588160617
104,Like,1588160617
882,Emoticon,1588160617
568,Comment,1588160617
115,Emoticon,1588160620
967,Comment,1588168236
702,Comment,1588161154
612,Emoticon,1588160623
126,Like,1588160627
808,Comment,1588163607
268,Comment,1588160636
639,Like,1588160639
84,Emoticon,1588160641
462,Comment,1588160641
970,Comment,1588160641
564,Like,1588164844
232,Like,1588170828
108,Emoticon,1588168115
205,Like,1588175870
588,Comment,1588160653
169,Like,1588160658
286,Comment,1588160658
338,Emoticon,1588160660
692,Like,1588160662
846,Emoticon,1588168878
557,Like,1588160664
828,Like,1588160664
545,Emoticon,1588160664
801,Comment,1588160665
877,Like,1588168131
223,Comment,1588160668
510,Emoticon,1588160668
366,Like,1588177165
860,Emoticon,1588160673
864,Emoticon,1588160675
87,Comment,1588160676
947,Emoticon,1588160681
572,Comment,1588160682
38,Comment,1588160682
998,Like,1588169566
205,Comment,1588183797
224,Like,1588160694
995,Comment,1588160696
354,Like,1588160696
279,Comment,1588167823
831,Like,1588160697
514,Emoticon,1588160698
810,Comment,1588160698
402,Comment,1588164597
201,Comment,1588168878
227,Comment,1588160702
570,Comment,1588160703
882,Like,1588160706
108,Emoticon,1588167297
646,Comment,1588161325
267,Comment,1588160816
359,Like,1588160718
706,Comment,1588160720
731,Comment,1588160722
308,Like,1588160722
956,Like,1588160724
64,Like,1588162819
248,Emoticon,1588161446
890,Like,1588160731
128,Comment,1588177088
405,Emoticon,1588160740
707,Like,1588160742
416,Emoticon,1588160744
164,Emoticon,1588160747
677,Emoticon,1588171822
152,Comment,1588160753
931,Emoticon,1588165622
213,Like,1588163860
807,Like,1588160760
93,Emoticon,1588164070
454,Emoticon,1588160766
685,Comment,1588165772
204,Comment,1588179003
235,Like,1588160773
126,Comment,1588160776
653,Comment,1588160782
605,Comment,1588169398
387,Comment,1588161358
934,Emoticon,1588160788
495,Comment,1588160788
218,Comment,1588160793
511,Like,1588162689
235,Emoticon,1588160796
726,Emoticon,1588165187
501,Comment,1588160799
649,Comment,1588164902
588,Comment,1588160801
136,Comment,1588160822
230,Like,1588160802
612,Comment,1588160802
581,Comment,1588178530
734,Emoticon,1588160804
104,Comment,1588160806
843,Emoticon,1588160810
746,Emoticon,1588160810
926,Like,1588166493
649,Comment,1588165579
691,Comment,1588160812
970,Comment,1588160812
203,Comment,1588174690
384,Emoticon,1588163127
140,Like,1588160814
651,Comment,1588160815
549,Emoticon,1588160815
113,Comment,1588164247
116,Like,1588160817
629,Emoticon,1588160822
755,Comment,1588160823
429,Comment,1588160824
832,Emoticon,1588164353
743,Comment,1588173144
905,Like,1588176709
161,Emoticon,1588163137
652,Like,1588160832
401,Comment,1588160834
860,Comment,1588160836
30,Like,1588160841
657,Comment,1588160842
617,Like,1588166957
818,Like,1588160845
665,Like,1588160852
248,Comment,1588161231
616,Like,1588160858
267,Comment,1588160859
109,Emoticon,1588160860
650,Emoticon,1588160860
199,Comment,1588168118
317,Comment,1588160863
901,Emoticon,1588160864
910,Comment,1588160866
122,Comment,1588188768
716,Like,1588165356
133,Like,1588175602
901,Like,1588160870
538,Emoticon,1588162903
787,Comment,1588168205
39,Comment,1588161049
951,Like,1588164265
417,Like,1588160879
973,Emoticon,1588160882
758,Like,1588166477
617,Comment,1588169332
808,Emoticon,1588163281
563,Comment,1588182793
417,Like,1588160894
372,Like,1588160896
940,Emoticon,1588160899
602,Like,1588160900
439,Like,1588164579
442,Emoticon,1588164747
333,Like,1588160903
954,Like,1588160904
812,Comment,1588187142
738,Emoticon,1588160916
147,Emoticon,1588166739
666,Like,1588160921
500,Like,1588160923
429,Emoticon,1588160923
991,Like,1588160927
585,Like,1588160928
664,Like,1588160933
757,Like,1588160936
7,Comment,1588160937
796,Emoticon,1588160939
977,Comment,1588160939
